date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-11-11,2738.0,1614335171.0,1430.0,1560613.0,1091.33776224,14396187.905403314,0.010078759665809768,0.0023799245311574707,0.000528,0.0001246780550501582,3.92063751,0.925790642620256,7150.0,4.28072,1688.348662137559,7150.0,1688.348662137559,33.01796663,23.35768509897075,2.7100544590217473e-05,0.236132680019239,-82.17113273024799,-10.54073321873764,60966520.61980739,389.0,792.0,1846465.02640205,436010.7352461109,3624.5964706,855.8856785910527,24.28870598,5.735357237256717,2870680.40471253,677861.4574434835,0.05611636925265253,0.04395968260536053,0.06928394631154762
2019-11-12,2546.0,1614335171.0,1454.0,988644.0,679.9477304,14137954.294061657,0.01642279958490566,0.003807944431928418,0.00902041,0.0020915569148625603,4.35204189,1.0091052744610305,7270.0,4.351895,1685.69042549627,7270.0,1685.69042549627,46.72736747,22.949682399752888,2.638189655172413e-05,0.231869384524934,-82.89034003322259,-9.958551093427564,60973786.2677655,265.0,530.0,1304883.83087302,302562.61074106523,3439.698593,797.5607957101912,38.63195306,8.957567179018339,1823040.2542925,422707.2217269812,0.056081245311081114,0.04386872080164792,0.0692356044089243
2019-11-13,2541.0,1614335171.0,1431.0,877324.0,613.08455625,14857758.642391434,0.012162212014925372,0.0029611915159322537,0.00061325,0.0001493108897392131,3.25947282,0.7935993262698444,7155.0,4.279625,1742.0618281028449,7155.0,1742.0618281028449,29.681452899999996,23.95195602315017,2.777258620689657e-05,0.243474748861334,-81.14205569196761,-7.053685096012571,61023817.50829268,268.0,608.0,2055957.89814172,500573.8329195315,3737.82382674,910.0657175034319,49.51724448,12.05619866407328,2272596.88665595,553319.956241607,0.05603317077020184,0.04475650735061582,0.06953671614242188
2019-11-14,2365.0,1614335171.0,1467.0,801247.0,546.18064076,14823811.694577945,0.013172387093596059,0.003199422106215074,0.0108241,0.0026290500403468144,2.67399458,0.6494826875616599,7335.0,4.38657,1781.5875727260354,7335.0,1781.5875727260354,44.13981828,23.776692198836773,2.8094426179232024e-05,0.242888557972193,-77.29524692848456,-4.508356474308912,61031329.8342981,203.0,393.0,1382681.94604227,335837.62400839257,6993.14721212,1698.5554420390888,48.0,11.658650782665264,2748306.85436455,667532.2887216993,0.055951442956598776,0.04446559033994432,0.06947643746190625
2019-11-15,2517.0,1614335172.0,1443.0,825558.0,572.11226611,14860948.293437738,0.015338046327433628,0.0037343276606248837,0.00964173,0.0023474553581754104,3.46639847,0.8439580513012235,7215.0,4.3143,1756.6235944416187,7215.0,1756.6235944416187,219.37055078,23.828190480025004,2.8758774561031892e-05,0.24346827365788198,-77.25444090050506,4.0863562179879205,61038541.36789963,226.0,522.0,278244.00836883,67743.58837320832,757.21589011,184.3580455513981,63.92867386,15.564603861931971,395266.69463831,96234.89977804651,0.0559261031685461,0.04166346194237803,0.06944206646398053
2019-11-16,2456.0,1614335172.0,1436.0,1076736.0,749.81615599,14729819.994509136,0.0162164949137931,0.00391290430174005,0.002705,0.0006526938276411483,3.76222682,0.9077937980036914,7180.0,4.293130000000001,1732.4738197646743,7180.0,1732.4738197646743,38.58274224,23.487151786506704,2.8461952659263654e-05,0.24129161835162602,-76.76122724603681,3.5026374263616726,61045717.60567281,232.0,434.0,1582202.66540649,381772.2416961882,4048.15858058,976.7867352521689,62.494969999999995,15.079512450136317,1756900.82397312,423925.44309977914,0.05586925914390453,0.04169793689176477,0.06943422199418929
2019-11-17,2331.0,1614335172.0,1429.0,1150773.0,805.29951015,14501893.26141039,0.01878490146464647,0.004460609670691601,0.00333963,0.0007930191117886787,3.71941049,0.8832007147969367,7145.0,4.270135,1696.6315291604485,7145.0,1696.6315291604485,67.20973174,23.10335529785933,2.791918585622443e-05,0.23745717692938398,-76.62818826762705,3.011993293214496,61071614.88626232,198.0,384.0,908672.20124686,215770.73566228844,2899.57557302,688.5250298627301,50.0,11.8728588464692,1113437.02004104,264393.6114676112,0.05572461217001897,0.04175570516057374,0.0690327698653516
2019-11-18,2428.0,1614335172.0,1446.0,835692.0,577.93360996,13796675.31465213,0.028068217824267785,0.006340135135741694,0.0002,4.5176613459654795e-05,6.70830406,1.515292297442265,7230.0,4.320505000000001,1633.134576566521,7230.0,1633.134576566521,157.14235559,21.995347689009105,2.7602143949900764e-05,0.225883067298274,-78.49820053085509,-3.649805828885156,61078838.17795826,239.0,492.0,388684.75623401,87797.3049502201,1102.27745226,248.98581193021562,80.0,18.070645383861923,542320.50651311,122501.0194699349,0.055814918955700565,0.0426524623036376,0.06913373406199848
2019-11-19,2533.0,1614335172.0,1456.0,855679.0,587.69162088,13674691.515338944,0.00901791676870748,0.0020187456641678,0.0002,4.47718850360856e-05,2.65126753,0.5935112252653331,7280.0,4.35007,1629.6966153135156,7280.0,1629.6966153135156,229.25576812,21.821688064484025,2.757969335658867e-05,0.22385942518042798,-72.82390484627612,-5.687268994813994,61086065.52669073,294.0,578.0,266453.77792173,59648.1895627119,1978.47362411,442.8999682279028,3.69101858,0.8262692976490799,1143557.75473784,255996.18163623367,0.0557832399078389,0.042595696069594506,0.06913390451614561
2019-11-20,2425.0,1614335172.0,1440.0,976231.0,677.93819444,13892941.766724598,0.021640234017467248,0.004921107634665968,0.0002,4.5481094434504e-05,4.95561359,1.1269336483385068,7200.0,4.301525,1637.319399642144,7200.0,1637.319399642144,143.10342528,22.170813675850553,2.8156247526741338e-05,0.22740547217251997,-69.31666128257056,-6.084510770066802,61093260.57107714,229.0,508.0,426916.82923281,97083.22313008226,3003.26802948,682.9595843045332,35.495,8.071757234763597,1525660.1589776,346943.468827103,0.0555172469021157,0.0425278194132152,0.06895973417366323
2019-11-21,2435.0,1614335172.0,1457.0,795270.0,545.82704187,12763964.622455642,0.014602412276785713,0.003050458583294563,0.00068094,0.00014224904956359918,3.27094035,0.6833027226579822,7285.0,4.351895,1521.843813068435,7285.0,1521.843813068435,197.39201027,20.37590745012281,2.7442641729982456e-05,0.20890100385290802,-74.95703628442574,-13.157146615365846,61100542.30013679,224.0,466.0,309539.08527779,64663.02564624122,1500.9060348,313.5407773586076,59.92788293,12.518994902856551,699422.21221709,146110.00224917175,0.05579983704783313,0.045135117629506,0.06974459434670464
2019-11-22,2515.0,1614335172.0,1441.0,875918.0,607.85426787,12053783.596984414,0.016406979547169808,0.003236352242565228,0.01186736,0.0023408913894790613,4.34784958,0.8576333442797855,7205.0,4.303715,1421.2194170562482,7205.0,1421.2194170562482,116.78578919,19.232318791161315,2.710463008201332e-05,0.197254603338827,-75.1662372465258,-5.319232852948962,61107742.95228721,265.0,563.0,523246.39303874,103212.75970732863,1674.42800151,330.28863125728,103.0,20.31722414389918,942702.96484968,185952.49939775982,0.055912326345281066,0.03817438283265761,0.07008405612060269
2019-11-23,2441.0,1614335172.0,1446.0,801731.0,554.44744122,12165549.952367192,0.017931299999999997,0.0035694053764226564,0.01098986,0.0021876420209428365,3.406947,0.6781870215203046,7230.0,4.31795,1439.2041219284604,7230.0,1439.2041219284604,561.10485336,19.425310317959106,2.717604048397271e-05,0.19906004452675802,-73.22520217178405,-6.3515956531718025,61114976.54534021,190.0,432.0,108918.99469295,21681.419933388348,548.90070873,109.2641995205628,7.0159037,1.396586102917446,237125.10617037,47202.13419268606,0.05588056932700629,0.03800965611070645,0.05780693831580385
2019-11-24,2344.0,1614335173.0,1447.0,1278556.0,883.59087768,11296433.419912135,0.012904524670050762,0.0023849759943945156,0.00334003,0.0006172944431688376,2.54219136,0.4698402708957195,7235.0,4.320505000000001,1337.1512520326285,7235.0,1337.1512520326285,930.9367697,18.07779779081311,2.6617730566920012e-05,0.18481703552627898,-72.81495236868325,-19.907193528631566,61122252.00314885,197.0,364.0,65656.71696777,12134.479792371194,300.80195668,55.593325914101804,56.54152788,10.449837566908055,109491.91223120001,20235.970632673918,0.056096498033265454,0.036749844111387216,0.05861402634529773
2019-11-25,2664.0,1614335173.0,1448.0,885056.0,611.22651934,11515722.419875339,0.021508045377128956,0.004051729551054641,0.0002,3.76764088043364e-05,8.83980665,1.6652608454834572,7240.0,4.32306,1363.8859987169776,7240.0,1363.8859987169776,76.29791271,18.416517623292357,2.6387570369438545e-05,0.188382044021682,-73.66036003879694,-16.216589536076444,61129618.1633422,411.0,806.0,801196.46781602,150931.02827013357,1649.80122104,310.79292624898204,18.29214105,3.445910920531917,1329739.78415969,250499.09855695258,0.0561234154764994,0.036886118099418434,0.05852774290963805
2019-11-26,3390.0,1614335173.0,1446.0,1462536.0,1011.43568465,14930531.857906438,0.040735336188235285,0.00994818341848805,0.00054804,0.00013383963287978896,34.62503576,8.455955905714847,7230.0,4.31649,1765.6750341596858,7230.0,1765.6750341596858,15.04113783,23.498983613392614,3.408236732904731e-05,0.24421508079663698,-62.3702425876871,5.006911111132325,61136813.53830644,850.0,1618.0,4064640.20317905,992646.4356286309,4959.81522116,1211.2616749719796,157.69018281,38.51032073578062,8024981.02783731,1959821.3901047683,0.05936551549048681,0.060645894792308336,0.06706629653370401
2019-11-27,2698.0,1614335173.0,1454.0,904311.0,621.94704264,14819057.126866957,0.013770781890547264,0.003337526873975609,0.0002,4.8472583481503e-05,5.53585432,1.341685803338195,7270.0,4.33985,1761.978409552634,7270.0,1761.978409552634,17.06730412,23.00302334027266,3.2199721333462994e-05,0.242362917407515,-62.76393788271126,-4.210844040830647,61144078.00245212,402.0,958.0,3582527.01066024,868271.697994839,6835.34802718,1656.6348893630468,99.65844228,24.153510815269243,6548263.41003389,1587056.2240086964,0.05931419411123171,0.058614839312203564,0.06694587098886122
2019-11-28,2409.0,1614335173.0,1452.0,929732.0,640.31129477,13868406.900479022,0.02521910497797357,0.00571928037573064,0.01338401,0.0030352744797422005,5.72473683,1.2982766452908554,7260.0,4.33328,1646.4492123756909,7260.0,1646.4492123756909,199.60431763,21.527958582823416,3.0496689018286627e-05,0.22678363806827698,-70.13017784619558,-5.749425239008254,61152590.27771529,227.0,453.0,306369.07560231,69479.49355670688,1407.12302194,319.1124781251812,80.06223994,18.156806045488512,637426.72893913,144557.95259077733,0.05948470890974415,0.059151927190834036,0.06708438768063214
2019-11-29,2508.0,1614335173.0,1451.0,989813.0,682.15920055,14861527.239421515,0.026508995075187967,0.006441461156093872,0.01589939,0.003863417032599872,7.05139269,1.71342866752097,7255.0,4.32963,1762.903518406183,7255.0,1762.903518406183,90.46187681,23.037330041990128,3.1362898991265384e-05,0.24299152562456,-69.5626559001108,3.9390862048281545,61160681.226322606,266.0,554.0,676093.4372136999,164284.97577330965,2845.6693555,691.4735381160033,87.91037649,21.36147650153455,1576500.82294529,383076.3401158503,0.059573063602567325,0.06030707886754943,0.06761697317777275
2019-11-30,2414.0,1614335173.0,1428.0,773851.0,541.91246499,13914633.240022039,0.019207350557939915,0.00436934408848022,0.01625047,0.003696704280756393,4.47531268,1.0180571726158913,7140.0,4.260644999999999,1624.2280109191086,7140.0,1624.2280109191086,155.70401178,21.546339531661182,3.0105490024143354e-05,0.227482914694553,-68.31971619671671,-2.137888868438908,61167816.75100992,233.0,488.0,392846.76131687,89365.92629267697,1961.48650674,446.2046676872521,80.14222437,18.230986789792446,957205.41529124,217747.87783186132,0.0594517342692509,0.06153849123876995,0.059608372842142585
2019-12-01,2625.0,1614335173.0,1428.0,886884.0,621.06722689,14068762.049506674,0.021127993429394813,0.004858928613130649,0.0002,4.59951734590238e-05,7.33141372,1.6860482287563345,7140.0,4.259915,1642.0276924871494,7140.0,1642.0276924871494,260.74321029,21.78031675663825,3.100354878357911e-05,0.22997586729511899,-69.32022812611736,-2.676608109835276,61174949.4195962,347.0,724.0,234617.61228866,53956.388868794544,638.76328459,146.9001403698642,0.92493969,0.21271380740342846,462464.61804053,106355.70162717682,0.05939767850654136,0.06149371195221213,0.059414083805261086
2019-12-02,2367.0,1614335173.0,1434.0,807107.0,562.83612273,13443352.765113156,0.014159823005464481,0.003111293064410988,0.00057564,0.00012648355413103502,2.59124761,0.569366630787211,7170.0,4.277435,1575.4413923971945,7170.0,1575.4413923971945,491.75630678,20.83032963751029,3.0024248392752807e-05,0.21972683297032003,-70.4687107836992,-11.793630828808382,61182116.82834859,183.0,387.0,124415.52042031,27337.428274308888,481.01189000000005,105.69121921076793,52.22592004,11.475436009350366,186151.60142897,40902.50183434086,0.059452464036924474,0.06115442177755795,0.05970030075172082
2019-12-03,2453.0,1614335174.0,1425.0,1257824.0,882.68350877,13255322.262802055,0.014684904398148147,0.0031811662388694247,0.0002023,4.3823910096714e-05,3.17193935,0.6871319075957956,7125.0,4.2500599999999995,1543.4768138363186,7125.0,1543.4768138363186,182.09321524,20.54740455224791,2.964893161893629e-05,0.21662832474895702,-69.3153318406689,-13.605347956497777,61189238.65640924,216.0,476.0,336032.50167414,72794.15789887003,1384.73670915,299.97319352154824,17.86506215,3.8700784850904992,659134.67355691,142787.24011658406,0.0594386522492896,0.06114618749961125,0.05972184740530127
