date,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-09-02,1268,1614249239,23894,596045569.9321629,0.00226575,1.350528855630744e-05,5.9999999999999995e-05,3.576375652117164e-07,903.354833,5.3845603832726106,977.085369900149,375.93745405811364,1.0333118644067792e-05,0.00596062608686194,-21.016231316219205,5.128802876223241,99997141448.93796,99997141448.93796,13138562463.446985,398700,22914,102342276.86692,610024.0452818106,4519.22740975,26.937424791017367,700.0,4.172438260803358,103553576.86692,617244.1516608266,0.03528692612427492,0.030054628043775136,0.02793698973068509
2016-09-03,1065,1614249269,23848,597609314.8498024,0.00227253,1.3581239326648271e-05,5.9999999999999995e-05,3.585758426066526e-07,1010.4456470000001,6.0386899880208205,903.468590941944,377.59700316547,9.954228521332547e-06,0.00597626404344421,-21.764362659391452,-0.18722138085890366,99997140438.49232,99997140438.49232,13139104965.50837,444634,25163,110681368.93861102,661461.0854670038,4409.85053208,26.35443117183302,600.0,3.5857584260665263,110965068.93861102,663156.551576129,0.03527678127995824,0.028353625511487776,0.027854424557155845
2016-09-04,1093,1614249300,23882,598810729.5537735,0.00218604,1.309061654879134e-05,5.9999999999999995e-05,3.592967159464056e-07,1086.442978,6.5059232343072155,1233.519216141079,379.2505329307832,9.80818497954412e-06,0.00598827859910676,-20.324469198467533,-1.3493740570865047,99997139352.04932,99997139352.04932,13139647391.572422,496992,24818,81066543.628626,485449.04831485543,3275.00397408,19.611636209972854,500.0,2.99413929955338,81279048.628626,486721.5874585588,0.0352550961372287,0.02823770661387107,0.02783395094299945
2016-09-05,1313,1614249331,24028,592322637.2100273,0.0021295000000000003,1.2613871547309058e-05,5.9999999999999995e-05,3.554037533874354e-07,1184.914628,7.018718437247946,845.08246983677,375.50507636977517,9.750013150204566e-06,0.00592339588979059,-24.180012223095066,-10.221590618689072,99997138167.13472,99997138167.13472,13140021328.162193,556428,25416,118328259.94657,700905.1286135855,4664.9338978,27.632250276373323,700.0,4.146377122853413,118563959.94657,702301.273024809,0.03524720909008346,0.023425898213993712,0.027853444540775738
2016-09-06,1434,1614249360,24175,586941178.1768649,0.0022786,1.3374424613452256e-05,5.9999999999999995e-05,3.521747901374244e-07,1299.757448,7.6290301079825715,554.652830907885,371.70566301300926,9.575241963763884e-06,0.00586957983562374,-23.755523028112396,-5.090585395819957,99997136867.37726,99997136867.37726,13140395149.909157,570419,25790,180287796.789384,1058213.6166439983,7038.99561029,41.315946697202214,600.0,3.5217479013742436,181535696.789384,1065538.2653208736,0.03516138131257082,0.0204328098099142,0.027707027428188563
2016-09-07,1330,1614249390,23772,587102366.2149682,0.00213491,1.2534466146325762e-05,5.9999999999999995e-05,3.522715097027724e-07,1127.901783,6.622127731564314,987.3290518510801,372.3495754871918,9.53642197545294e-06,0.00587119182837954,-24.42868459309207,-1.094942654812504,99997135739.4755,99997135739.4755,13140769143.511774,528314,25395,101280455.13499,594636.9805631139,4046.72002894,23.759069565652347,600.0,3.522715097027724,102766455.13499,603361.571620086,0.03489769829247827,0.019043111321778702,0.02767085753768133
2016-09-08,1323,1614249420,23717,592349607.3135847,0.00223171,1.321990424012671e-05,5.9999999999999995e-05,3.554199490111182e-07,1257.5747789999998,7.4494527304974705,334.626679054983,373.55557033103423,9.39444009351256e-06,0.0059236658168519704,-21.375070620498317,-5.029796528175101,99997134481.90068,99997134481.90068,13211666952.44142,563504,28054,298831924.472675,1770180.4559828741,10664.00643305,63.1700103781478,600.0,3.5541994901111815,299168036.472675,1772171.4711479086,0.03483392523079365,0.016672548521060718,0.027704757389423552
2016-09-09,1357,1614249449,23754,591896604.2863097,0.0021252,1.2579347203457687e-05,5.9999999999999995e-05,3.551481423901098e-07,840.2196630000001,4.9733742085682335,751.5937885763319,371.8594725096002,9.501357685564e-06,0.00591913570650183,-21.77845839622152,-4.94573188626812,99997133641.68103,99997133641.68103,13212041233.726156,395360,26933,133046780.27089,787521.9477365279,5083.16490071,30.08794286582939,500.0,2.9595678532509146,136904880.27089,810358.5652057832,0.03481606600447765,0.01667345990590226,0.02730107694615602
2016-09-10,1102,1614249480,24092,588470648.4195758,0.00198092,1.1657466992871728e-05,5.9999999999999995e-05,3.5309251235400895e-07,681.312117,4.0094367848126415,861.6080376312809,368.8812605577225,9.419528345996484e-06,0.00588487520590015,-22.614658946754826,-5.06522580212954,99997132960.36896,99997132960.36896,13212415673.9182,343938,21752,116058728.09088396,682991.1313703501,5417.12187803,31.879086227358002,600.0,3.5309251235400896,117833235.09088401,693433.8836173468,0.034743378376416806,0.016682469713641162,0.02721050285391476
2016-09-11,1047,1614249509,23754,586466925.782868,0.00227255,1.3328136345702329e-05,5.9999999999999995e-05,3.5189024696580476e-07,756.8398490000001,4.438742689636207,1452.7163880467801,370.954599388412,9.642202220923441e-06,0.0058648374494300794,-21.74704176610092,-4.255264157722163,99997132203.52907,99997132203.52907,13212790038.582594,333036,23185,68834586.72754301,403703.6620557368,2984.68638031,17.504700458045996,800.0,4.691869959544063,69199953.72754301,405846.4801201229,0.0347361678772757,0.016575579809670813,0.02719542529019746
