date,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-12-12,18,1614335542,1432,1201531.9525200655,24.6710860666667,0.003293677579529588,2.0,0.00026700710058968197,370.06629100000004,0.04940516369294377,0,0,0.0,0,0.0,10709.30567746,748.2578910389342,3.063021624780835e-07,0.00013350355029484098,0.0,1.421658437741823,8999999999,15,15,840390.6163539999,112.19513091772863,56026.0410902667,7.479675394515248,1398.0,0.18663796331218768,840390.6163539999,112.19513091772863,0.07013915685382477,0.0897245560497129,0.0798163908013605
2015-12-13,17,1614335542,1435,1292893.3576062033,18.0444919397993,0.00259217819699304,15.0,0.00215482226291643,5395.303089999999,0.7750612809009203,0,0,0.0,0,0.0,216.26938133,777.1294460739958,3.306944549044969e-07,0.00014365481752776202,0.0,11.979016036182836,8999999999,299,16,41614767.396661,5978.1618168275945,2600922.96229131,373.63511355172426,159650.8693465,22.93461650412003,41614767.396661,5978.1618168275945,0.07012714027225013,0.09054481237606772,0.08022287992602219
2015-12-14,13,1614335542,1421,1236428.8374575921,15.794590770623698,0.002169876389645617,15.0,0.002060714729324955,7849.911612999999,1.0784285656538743,0,0,0.0,0,0.0,1590.99567963,750.2951583091024,3.1012090105332465e-07,0.00013738098195499699,0.0,5.768496289720093,8999999999,497,8,5656834.970843,777.1415430517782,707104.371355375,97.14269288147231,33480.485421499994,4.599581963535632,5656834.970843,777.1415430517782,0.07016569160850986,0.09095558635721893,0.08041185626243096
2015-12-15,13,1614335542,1434,1129021.4281358018,15.663082559546302,0.0019648839824836476,15.0,0.0018817023804354148,8285.770674,1.0394236267338501,0,0,0.0,0,0.0,2021.97810672,725.0330213978273,2.6999999999999953e-07,0.000125446825362361,0.0,12.031293543796235,8999999999,529,13,4451086.769472,558.3747046426696,342391.289959385,42.95190035712849,148934.0,18.683297488517876,4451086.769472,558.3747046426696,0.0704559092505122,0.08824431047440476,0.08130288023010006
2015-12-16,18,1614335542,1439,1563940.9321211434,16.1988986102564,0.0028149022882972444,14.0,0.00243279700579209,9476.355687000001,1.6467178386538883,0,0,0.0,0,0.0,498.38987197,993.9248945037995,3.826358854471067e-07,0.00017377121469943502,0.0,34.55849679562148,8999999999,585,44,18058151.870851997,3137.9869858248267,410412.542519364,71.3178860414734,32430.463494,5.6354810346180635,18058151.870851997,3137.9869858248267,0.07429938662150032,0.10324993515622596,0.09074319539001977
2015-12-17,48,1614335542,1423,2221301.2228516396,21.292972349775802,0.0052553450582176085,15.0,0.003702168705164085,14244.998502,3.515825843947578,0,0,0.0,0,0.0,77.28287595,1175.0036766066564,5.409678550555239e-07,0.00024681124701093904,0.0,140.68328391340359,8999999999,669,143,116455293.464845,28742.476201083246,814372.681572343,200.99633707051228,30213.528467,7.457038637540773,116455293.464845,28742.476201083246,0.07874067479608242,0.11084666794753432,0.10107202063247492
2015-12-18,27,1614335542,1426,1654164.449858684,18.795143132616502,0.0034544730670482524,15.0,0.0027569407500708,10487.689868000001,1.9275959714129232,0,0,0.0,0,0.0,426.5042058,857.5820199665842,3.9681706604324926e-07,0.00018379605000472,0.0,65.88736942704557,8999999999,558,72,21101784.874962,3878.424708067361,293080.345485583,53.86700983426883,21640.4482105,3.977428901421612,21101784.874962,3878.424708067361,0.08165042999255584,0.12517794941202812,0.10824057972665227
2015-12-19,26,1614335542,1436,1453409.709876501,17.7451035319927,0.002865656197669737,15.0,0.002422349516729985,9706.571632,1.5675139401253455,0,0,0.0,0,0.0,344.09464837,740.0035454062131,3.500000000000005e-07,0.000161489967781999,0.0,45.16190308100768,8999999999,547,60,26155594.22862,4223.866069298882,435926.57047700003,70.39776782164805,23748.730444999997,3.835181714426428,26155594.22862,4223.866069298882,0.08222005730803998,0.12798829864285916,0.10962487075874944
2015-12-20,21,1614335542,1428,1392785.068547755,17.7527222053743,0.0027473029351632,15.0,0.0023213084478375147,9249.168269,1.431344829220026,0,0,0.0,0,0.0,403.26246702,697.6901807198441,3.499999999999989e-07,0.000154753896522501,0.0,41.379712676215355,8999999999,521,38,22317970.88756,3453.7929573256497,587315.023356842,90.88928835067497,49309.7458575,7.630875307982378,22317970.88756,3453.7929573256497,0.08221803175615262,0.12828235647730676,0.1097695882769142
2015-12-21,24,1614335542,1430,1728536.04152208,17.5857789829545,0.0033775169770728767,15.0,0.0028808934028569,9285.291303,1.783328963894483,0,0,0.0,0,0.0,954.6245151,865.2771649959009,4.388527177089425e-07,0.00019205956019046,0.0,84.15970908930143,8999999999,528,45,9427790.567566,1810.6973099744923,209506.457057022,40.237717999433144,42862.318781,8.232118093822155,9427790.567566,1810.6973099744923,0.08377256582711003,0.1330159608383958,0.113112510258129
