date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-05-01,20315,1614335408,297,4004039,13481.61279461,0.85372047,165030789.0994491,193307758.00410962,22912676768.414124,0.00047874312881234296,0.006912598776113807,5.42e-05,0.0007825968272272125,1.3342571,19.26541278902918,98.35390256,59.05032846838507,0.0016305119263588536,14.4390558529006,-40.629160048949494,25.183718920503157,11429472.31319815,11429472.31319815,10329213.17253871,4240,13466,116207.61369007,1677928.2246032178,44.04271067,635.935159277271,0.53462913,7.719539868657654,593079.14192679,8563502.855471285,0.06038947654361089,0.036463925199194586,0.08288151644834618
2020-05-02,20480,1614335408,292,4137347,14168.99657534,0.8566714,165934325.9816217,193696587.1337836,23110356130.673275,0.0004374321212121192,0.006348269893869265,5.42e-05,0.000786581989667981,1.34247918,19.48284030428486,142.71790703,59.314811954602,0.0016165898889538293,14.512582835202599,-43.72781007888689,23.223109111515452,11433824.55527636,11433824.55527636,10333130.187666,4497,14064,80114.8558933,1162673.4824818352,33.02768518,479.3170170297433,0.50273353,7.295961998158811,464501.36439799,6741114.527890457,0.060333351635480585,0.036378013680697666,0.08286528651353785
2020-05-03,17727,1614335409,287,3437172,11976.20905923,0.85850353,166570724.93388778,194024507.42824253,22965961364.476418,0.00048513127627053225,0.0070648414122588266,5.42e-05,0.0007893005940332263,1.26958855,18.4886899758816,156.57802896,59.65075756953695,0.0016368524330800695,14.562741587328901,-44.03627312410758,24.604180535976898,11438143.28744401,11438143.28744401,10337017.04547126,4034,11339,73050.75535243,1063819.272956622,35.41850213,515.7904939294482,0.67108864,9.772890446511994,401610.39564557,5848548.410571357,0.060148693034133525,0.036279954082033966,0.08271169570468823
2020-05-04,21503,1614335409,273,4056548,14859.15018315,0.86235225,167823668.63804862,194611503.97928378,23021925266.08624,0.0006299477484143683,0.009239450117167773,5.42e-05,0.0007949519584933742,1.78779171,26.221559432522493,80.83867306,61.264683370855714,0.0016513269266510806,14.667010304305801,-43.898102282790795,22.588707751909837,11442254.77149768,11442254.77149768,10340717.38025544,4187,14699,141544.31707928,2076031.9571177275,41.76298394,612.5381157865376,0.39587301,5.806273516866552,613874.10089859,9003697.763426077,0.060050651725224474,0.03615220812729987,0.08272544411582361
2020-05-05,20577,1614335409,286,3830368,13392.895104899999,0.8685572,169342207.84582862,194969551.68694562,21685052915.151447,0.0004206735675675645,0.006223498567539941,4.55e-05,0.0006731328199687455,1.16736915,17.270208524923458,69.66219689,61.77348731672652,0.0016463750429573365,14.794127911401,-42.61664398438828,25.89228247830142,11446582.64819558,11446582.64819558,10344612.4682486,4195,13538,164315.55648901,2430905.3605314502,51.45825037,761.2799380706778,0.46481567,6.876542477203557,696641.79353467,10306207.801979713,0.05965654032149517,0.035849151728660225,0.08274057291471315
2020-05-06,13508,1614335409,300,3293141,10977.13666667,0.88867119,174275567.41839114,196108042.19907427,21888088271.68489,0.00041614245232816,0.006333310225678504,5.42e-05,0.0008248747810066825,0.93840123,14.281614558905014,27.87200419,62.5234338503334,0.0016423220993571,15.219091900492302,-40.30752212382711,19.74482512576213,11451114.72864907,11451114.72864907,10348691.33968523,3742,7863,410846.47694992,6252710.289694327,98.39088743,1497.4199579681626,0.67108864,10.213359685536396,773647.54785592,11774213.129409758,0.05968374481937817,0.033534664133037635,0.08282317299863352
2020-05-07,21311,1614335409,290,3817780,13164.75862069,0.89555754,176169062.34617105,196714397.6479376,23200166438.27662,0.00041535539203484714,0.006387566380574724,4.55e-05,0.000699724322567038,1.33495223,20.529638347167175,13.51793891,60.54047967543761,0.0015388169257121369,15.3785565399349,-39.36890442705869,24.280202906972274,11455500.51389393,11455500.51389393,10352638.54539057,4653,14158,847429.52215282,13032242.820037158,106.61826151,1639.6349628210999,0.54018116,8.30720651086762,1509501.34645851,23213951.803620055,0.059688392434785666,0.03296442530180108,0.08149844267008842
2020-05-08,26208,1614335410,307,4632783,15090.49837134,0.86050074,169301598.28979707,196747767.13603795,24033762494.042633,0.00043100204785580985,0.006367234474531766,4.55e-05,0.0006721758516751097,1.38696459,20.489760539043278,29.70834929,58.741657956968425,0.0014983883513360766,14.7730956412112,-42.269487974233854,15.258313613462116,11460130.11771963,11460130.11771963,10356805.18721452,4737,16485,385754.52321455,5698788.465478374,75.84670282,1120.4905948303833,0.67108864,9.914056662450353,1250332.89603132,18471287.456423268,0.059673434956001366,0.03362587348401587,0.08135587733644427
2020-05-09,26397,1614335410,280,4866927,17381.88214286,0.84997494,167296213.48025778,196824876.92758167,25524556957.017838,0.0005036214079785405,0.00734922231703513,4.55e-05,0.0006639702167691548,1.50230266,21.922730171715997,18.57209433,56.60009568287522,0.0015236750140268807,14.5927520169045,-42.877280355375575,14.012211478703268,11464336.08180684,11464336.08180684,10360590.55382813,4363,17256,617288.27566794,9007934.729764832,71.24916334,1039.721372032543,0.40508353,5.911283499422296,1229475.56265546,17941431.99667526,0.05965023082577104,0.0337527121218608,0.0810961220087093
2020-05-10,20448,1614335410,276,3820031,13840.69202899,0.76165152,149477828.45963457,196254881.02269286,25201151159.837276,0.0004854825586676741,0.006327673286989692,5.42e-05,0.0007064309232777332,1.28264492,16.71771282422683,107.09953534,50.7530302448357,0.001495551472238463,13.0337808722829,-56.2396120478257,8.855570805825648,11468493.28865947,11468493.28865947,10364332.039699601,4006,13040,107082.56812181,1395690.7281409777,40.18096056,523.7098351768816,0.44522177,5.802922989749935,523959.7256875,6829176.2505123345,0.059945730815661576,0.037914357080897104,0.08226355538089121
2020-05-11,21228,1614335410,285,4619895,16210.15789474,0.7516331999999999,147241669.31269437,195895643.3386292,24642378116.321083,0.0004889857540364118,0.00627565958321892,5.42e-05,0.000695604619567582,1.42343753,18.26844504675034,134.25722869,50.129698243835385,0.0014937793395674989,12.834033571357601,-51.87925535325204,6.599055693908483,11472750.8303626,11472750.8303626,10368163.82981504,4316,14097,85453.50549908,1096713.1583653837,34.27465801,439.88211154714065,0.38646556,4.959911971213515,483169.85390283,6201018.1256568665,0.05986746952916441,0.038056017943545836,0.051437377737390606
