date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-02-02,21073,1614336096,636,3978401,6255.34748427673,0.50224812,134900943.8353593,268594223.09389144,49371.794323551396,0.0230888070041691,0.07027277565134255,0.00149476,0.004549430991113304,77.53221392,235.97598063720872,1.5609253922386201,15900.0,13.0936465905967,48393.021460770644,15900.0,48393.021460770644,71.13122397,37.3001038818226,0.00816133212098188,3.04358625539438,61.78269780771379,-12.498690147446053,44323023.07722151,76721225.0,44323014.42549262,3358,25249,623116.27167259,1896508.1199752856,69.3741398193128,211.1461784338684,0.00377113,0.011477759435305409,1751627.65629783,5331229.8592767455,0.042195187616610036,0.042131296129128616,0.03668800685439786
2016-02-03,13188,1614336096,636,3671229,5772.37264150943,0.49968745,134225722.23211387,268619359.84558797,50895.3776713872,0.0218678167357032,0.06619970200623111,0.00115614,0.003499943519854219,70.74238714,214.15603599015807,1.6090945942579697,15900.0,13.088951190565698,48133.53224149504,15900.0,48133.53224149504,95.00955095,37.72059637099475,0.008224072066627695,3.0272661787103794,65.25959048873432,-13.459967754330316,44338923.07722151,76725200.0,44338914.42549262,3235,8775,466678.58794243,1412760.3056064362,118.960689656286,360.12567239253633,0.19584056,0.5928615037077009,1043880.05173391,3160102.7752445084,0.04211626502205011,0.04208804380152119,0.03608791447510525
2016-02-04,17220,1614336096,559,3098745,5543.37209302326,0.52189392,140212615.7972125,268661141.5218088,53697.682757586204,0.018878437722747,0.059680319663949,0.00110029,0.003478341793289633,73.94684056,233.7678121236883,1.4921533951965502,13975.0,11.5006577273012,44179.10420091305,13975.0,44179.10420091305,48.05279778,39.80549791033272,0.00811164548042079,3.1612954705483403,74.37507902359299,-9.115963626846211,44352898.07722151,76728693.75,44352889.42549262,3917,19816,923003.44875773,2917886.621858308,156.408522635238,494.45355416193536,0.00548784,0.017348683735094007,3099391.28453987,9798091.629272891,0.04188133318524428,0.04299461420234979,0.036522762009956015
2016-02-05,17201,1614336097,585,3516289,6010.75042735043,0.51304475,137832438.05063215,268655780.48318315,53697.682757586204,0.0188500664370546,0.05855973996820956,0.00138227,0.004294169043708957,71.42290173,221.88285473954647,1.56155587869407,14625.0,12.031604718408598,45434.12087670534,14625.0,45434.12087670534,54.33160508,39.36482541520902,0.008081736143191104,3.1066065556721605,78.28499199394244,-10.222717810862584,44367523.07722151,76732350.0,44367514.42549262,3789,16284,816606.15415633,2536874.031904285,136.8828788508,425.24124879717334,0.01032052,0.032061795089945645,2229000.79920643,6924628.495413178,0.041885892645949566,0.043072511994096466,0.036075067772244084
2016-02-06,20984,1614336097,603,4707143,7806.20729684909,0.50580475,135870740.32360384,268622904.0854749,53697.682757586204,0.0219996020620239,0.06734851830420371,0.00133571,0.0040890780265246335,80.87053718,247.5731532862533,1.60960375188465,15075.0,12.3975955405458,46149.876282919846,15075.0,46149.876282919846,47.403177299999996,38.88517311221927,0.008171633209818813,3.0613516605585294,71.24172573315914,-15.468953127870734,44382598.07722151,76736118.75,44382589.42549262,3676,19552,936278.97125571,2866279.1833997,131.419406752102,402.3210190901642,0.01151755,0.035259270818065895,2569512.2408171003,7866180.565250898,0.04189444857753639,0.042095880826025285,0.03603937410956023
2016-02-07,16884,1614336097,594,2730316,4596.49158249158,0.50594515,135919647.7783346,268645024.9525861,54583.148791821106,0.0204451839365452,0.06259148486609138,0.00142551,0.0043640980618411115,69.59540612,213.06141448417554,1.61172576794332,14850.0,12.208471961209199,45462.22490080077,14850.0,45462.22490080077,100.28430572,39.44920842117186,0.008160461993571028,3.06142928624921,67.87463962934187,-14.409502711215241,44397448.07722151,76739831.25,44397439.42549262,3404,18470,442715.81440005,1355343.1596899831,77.6900930172182,237.84272601433702,0.005006005,0.015325530314109978,1434936.01802802,4392955.149484805,0.04173599236118712,0.042087633988195136,0.036037395228591264
2016-02-08,10740,1614336098,587,2811909,4790.30494037479,0.49993866,134301312.8727644,268635582.9283523,54655.727974955196,0.0180660333221289,0.05463129941674504,0.001497,0.004526896068916916,64.49573896,195.03373891777926,1.59485022199553,14675.0,12.0606145999519,44376.886981533564,14675.0,44376.886981533564,133.81428648,39.51011650639498,0.008154966676133513,3.0239786699511804,68.49220843302157,-15.219376959246905,44412123.07722151,76743500.0,44412114.42549262,3570,10048,331893.73305892,1003639.569460645,124.879126965697,377.63181626639306,0.110744295,0.3348883858987811,1254785.46775132,3794444.489844705,0.04171397155940956,0.042104844041763866,0.03605691094475607
2016-02-09,17715,1614336098,556,4855066,8732.133093525179,0.50210293,134884503.2241278,268639145.5197602,54655.727974955196,0.0184456583468318,0.05600396547828921,0.0012858,0.0039038942095743936,77.43487374,235.1046470778584,1.51062474178793,13900.0,11.420108415244,42202.620557694885,13900.0,42202.620557694885,94.20792682,40.1775875110875,0.00812868903619029,3.03615975235215,74.13635244925,-14.476349477991805,44426023.07722151,76746975.0,44426014.42549262,4198,18042,471574.15065245,1431774.4564606177,108.36766475481,329.02154218494474,0.0089,0.027021821795934133,1955169.40750628,5936206.664100767,0.04162008213929372,0.04214066835304934,0.03515638978882129
2016-02-10,12417,1614336098,518,2764475,5336.8243243243205,0.50587416,135707151.1212429,268262667.3780746,54309.2513791017,0.0245278270262391,0.07490275536163792,0.00136956,0.004182344303200762,75.71740203,231.22480580137585,1.39845886024913,12950.0,10.6364969140631,39546.53956486015,12950.0,39546.53956486015,65.39329199,40.65989761885602,0.008055729134737852,3.05378683898534,72.39600235098055,-14.406953841205773,44438973.07722151,76750212.5,44438964.42549262,3087,10085,679564.70339698,2075245.7474726734,278.533865012349,850.5830511864306,0.08625565,0.2634063687581258,2809014.02864954,8578130.071215155,0.0415424059238011,0.04214769131009515,0.03412606287045017
2016-02-11,15617,1614336098,588,2327031,3957.5357142857106,0.50302281,134888897.33494657,268156621.69185546,53730.599744789295,0.0208246467700181,0.0631897170250241,0.00120327,0.003651168331660237,69.17947657,209.9162399571296,1.5705260091970101,14700.0,12.0698747007127,44605.26272192066,14700.0,44605.26272192066,76.45850282,40.88950347364389,0.008035108362945648,3.0343716137361003,75.00984485475642,-13.491172880104836,44453651.20222151,76753887.5,44453642.55049262,3322,15559,581408.86317278,1764210.55038606,123.832369221111,375.75342602622726,0.01000004,0.030343837512225545,1926707.83271127,5846347.55554208,0.04151614726609466,0.04208939167759092,0.034122310246897235
