date,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-01-31,1614335407,1388,2219720,1599.22190201729,1687434.5855988003,806064944.0317,0.0664359357472213,0.01863378692805045,0.045953724978,0.012888987114569189,41.12384422753,11.534314108463233,6717207.86693084,16461.036605004,99.8668077243267,4616.950830339026,16461.036605004,4616.950830339026,0.0012905477568673311,0.280477526484299,,-40.179106660902725,6016291.596514996,18552385.920143396,6016291.596514996,619,9979,0.0698310755788342,0.0966881336860107,0.08855396749967609
2015-02-01,1614335407,1444,2558169,1771.5851800554,1784373.8170666685,765707307.91759,0.0705706893542673,0.020871249489021308,0.04,0.0118299819259222,42.765837748685996,12.647977190346918,6380894.23264658,17103.3088709422,103.46923806232401,5058.295870417776,17103.3088709422,5058.295870417776,0.0013022229473991795,0.295749548148055,,-36.23408479749633,6033394.9053859385,18552819.04500269,6033394.9053859385,606,10686,0.06971351076178675,0.0975306093430998,0.08892823051017502
2015-02-02,1614335407,1448,2477857,1711.22720994475,1825354.8399121403,752429146.206492,0.0742813938976155,0.022409628374483976,0.06780309458049999,0.020455218628278447,45.014524701955004,13.580234794937294,6270242.885054099,17124.9694022441,103.307053958531,5166.357012062187,17124.9694022441,5166.357012062187,0.0012565395447106914,0.301685620027162,,-36.45143123494872,6050519.874788183,18553253.316707622,6050519.874788183,606,10259,0.0697157414667481,0.09748637492110056,0.08796255424740776
2015-02-03,1614335407,1419,2528751,1782.06553911205,1724144.5972588302,795561902.604651,0.0733202577386208,0.020835503685738766,0.0585941901965,0.016650779790685154,48.53801062296699,13.793103439959072,6629682.52170543,16754.9152230059,100.795567500345,4761.263921461861,16754.9152230059,4761.263921461861,0.0012475921654003473,0.28417117353863103,,-31.45363020083241,6067274.790011189,18553679.08523328,6067274.790011189,662,10579,0.06980262205062926,0.09521557742120486,0.0879806519365863
2015-02-04,1614335407,1413,2154989,1525.1160651097,1742274.4177490184,750156330.610049,0.0646976032843125,0.01852761497714724,0.03883787724,0.011122100348451517,37.265819491764,10.67190622683681,6251302.75508375,16669.594140113797,100.00751941440201,4773.713497486326,16669.594140113797,4773.713497486326,0.0012627704243132652,0.286372508974219,,-32.7453208583268,6083944.384151304,18554102.95898569,6083944.384151304,576,10086,0.06979274463296582,0.09500773796356243,0.0879034812274208
2015-02-05,1614335407,1448,2904143,2005.62361878453,1650899.7579360546,740768665.896409,0.0772847808237482,0.02091287808611129,0.07474338,0.020225187637506727,54.0220617958,14.618101782191792,6173072.21580341,17053.54777859,102.025029489174,4614.605383208101,17053.54777859,4614.605383208101,0.0012469176589713616,0.270595036476899,,-42.175658630125604,6100997.931929893,18554536.887742337,6100997.931929893,699,10184,0.06987272269505285,0.09309068438276738,0.08784881170060704
2015-02-06,1614335407,1420,2375685,1673.0176056338,1631448.6123766145,737454269.760563,0.0674504056696019,0.017987449859965685,0.04,0.010667066969515441,36.423219061585,9.713222924381464,6145452.24800469,16704.7769365708,99.66557500434809,4454.7743573304415,16704.7769365708,4454.7743573304415,0.0011973362261835196,0.26667667423788605,,-43.17363445569534,6117702.708866464,18554962.81779346,6117702.708866464,540,9923,0.06985307321276177,0.09300896045619413,0.08772187177238483
2015-02-07,1614335408,1492,4996742,3349.02278820375,1692826.770583874,802781445.573056,0.0952853157684076,0.026291079707404796,0.1,0.0275919531728327,72.702695931295,20.06009381674986,6689845.37977547,17516.3529382917,104.209299750672,4833.10390032155,17516.3529382917,4833.10390032155,0.001206748297486848,0.27591953172832695,,-37.146885830706225,6135219.061804755,18555410.06128669,6135219.061804755,763,10878,0.06990310581780668,0.09304002033668357,0.08654420782780424
2015-02-08,1614335408,1409,2209260,1567.96309439319,1609389.1728499148,823597522.8864441,0.070779989534215,0.0185171047915841,0.043523252125,0.011386334270077519,35.885454693846995,9.388172129333135,6863312.69072037,16528.2060817671,98.0663697180395,4324.0261272577945,16528.2060817671,4324.0261272577945,0.0011677363562244284,0.261614969335831,,-38.32685073939699,6151747.267886521,18555832.95838586,6151747.267886521,507,9655,0.06996769242912987,0.09323623669578268,0.08675249977932144
2015-02-09,1614335408,1408,2276971,1617.1669034090899,1529177.8193258466,785091639.632102,0.07461600582949,0.018498168990973635,0.0733962872665,0.018195786682395285,44.620371486035005,11.061905056602225,6542430.33026752,16492.4717774944,97.59270801483721,4088.674093814597,16492.4717774944,4088.674093814597,0.001122948010812388,0.24791154103377,,-40.88358158315233,6168239.739664016,18556254.908459503,6168239.739664016,598,9905,0.06982448431328518,0.09348356540286057,0.08694824693210021
