date,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-04-23,1614335576,727,15858769,21813.9876203576,1175045491.45494630949818652,34858807605.8569,0.000520103216783217,0.03608119734026503382906001722,0.00005002,0.003470044854024242126,2.45436708,170.267170248710623670604,290490063.382141,2093.45233962971,4.51120604092608,145229.3786140960653019719757,2093.45233962971,145229.3786140960653019719757,0.012511247153679338,69.3731478213563,-75.36648279094189,32.309260863663724,16938044.88273793367596,19215788.419065235398,16938044.88273793367596,4719,11250,0.05109959828083461,0.04526795423977863,0.03820434900373104
2019-04-24,1614335576,722,12202937,16901.5747922438,1144151850.016366429320289594,36458258936.4086,0.000557604829792095,0.03766115926744508129282761467,0.00004991,0.003370968755308352093,2.44063634,164.842894113607133313782,303818824.470072,2076.18613662096,4.47345055437078,140227.581581919731091754297,2076.18613662096,140227.581581919731091754297,0.012434019952558363,67.5409488140323,-77.01243163682655,32.72260358348319,16940121.06887455463826,19216221.61401042804,16940121.06887455463826,4377,10444,0.0511232628190869,0.04517826543213276,0.0381151198825145
2019-04-25,1614335576,723,13438489,18587.1217150761,1028647809.428993748545837391,35697032108.9903,0.000440261878439818,0.02673055977813090586179623203,0.00004985,0.003026649524283023925,1.83985439,111.707009312809090689795,297475267.574919,2076.19864107833,4.4729292902674,126056.6826346396836447858614,2076.19864107833,126056.6826346396836447858614,0.011840679760850358,60.7151358933405,-76.3058667797535,17.86785430302296,16942197.26751563297166,19216655.408941639265,16942197.26751563297166,4179,10169,0.051708679162826336,0.04988432245726227,0.0376317431237621
2019-04-26,1614335576,721,26392159,36604.9361997226,1038002074.629689424741193971,36688243408.0652,0.000354403473435655,0.02171068166403913024426395626,0.00016933,0.01037311990916252779,3.00179742,183.88947369441156487746,305735361.733877,2067.60517643073,4.45387212173174,126661.054862818793021445796,2067.60517643073,126661.054862818793021445796,0.011894724164826564,61.259788042063,-77.1370641300598,15.194231560719881,16944264.87269206369766,19217088.003691604505,16944264.87269206369766,8470,21707,0.051712229914367164,0.04964097760314181,0.037603375813744795
2019-04-27,1614335576,695,22741074,32720.9697841727,1044481868.256260490721002837,35462559747.5324,0.000363240671296296,0.02238832651055557807934333775,0.00014159,0.008726894869225203744,2.82455946,174.091626946080317151936,295521331.229436,1990.34666682586,4.28694436610121,122674.9496059190880128500902,1990.34666682586,122674.9496059190880128500902,0.011894491082336584,61.6349662350816,-75.45732869314358,17.15625688380276,16946255.21935888955866,19217504.996751130698,16946255.21935888955866,7776,19018,0.051667136597508906,0.04955484796434809,0.03754912214169199
2019-04-28,1614335576,735,23937042,32567.4040816327,1017341712.3327700850974938,34839347046.4639,0.00048386662798032,0.02904456734708186919581120736,0.00016893,0.01014018838708194414,3.83561076,230.23628536031817880248,290327892.053866,2102.04028676715,4.52695616994594,126177.0230572109991513143757,2102.04028676715,126177.0230572109991513143757,0.01165854133804036,60.025977547398,-76.97729129181855,12.547982304388864,16948357.25964565671096,19217945.991476832551,16948357.25964565671096,7927,20670,0.0516717962384109,0.04986096800271615,0.037728782792892414
2019-04-29,1614335576,747,17512607,23443.9183400268,1029671401.678495336985693893,37004155551.1299,0.000422972149574563,0.02569378883201483395834356001,0.0000496,0.00301299252763987952,2.83349043,172.122691385667522303891,308367962.926082,2133.34222071059,4.59378981322009,129591.6163286224656440515401,2133.34222071059,129591.6163286224656440515401,0.011798052219892965,60.7458170895137,-76.22243801324949,13.957835748385811,16950490.60186636729896,19218394.186148097833,16950490.60186636729896,6699,16198,0.05166977642205347,0.04987429837037587,0.03761001077439791
2019-04-30,1614335577,676,41909523,61996.3357988166,1050696531.238233693865874025,36862211235.6598,0.00031924517574952,0.0197865453847086629779847603,0.00024719,0.015320626669339695738,4.32321817,267.949397599724723964534,307185093.630498,1927.9357216086,4.15100970299228,119491.8218101435668413843437,1927.9357216086,119491.8218101435668413843437,0.011768301776687494,61.9791523497702,-74.2493830153661,11.212355703137652,16952418.53758797589696,19218799.776933151796,16952418.53758797589696,13542,34433,0.0516982386439543,0.04939406821718825,0.03764977748139429
2019-05-01,1614335577,697,29309377,42050.756097561,1096252329.174424440034186922,32965576528.8924,0.000464345330805687,0.03002403722828858899917598219,0.00004994,0.003229063198673965114,4.89884324,316.753592758444752957844,274713137.74077,1985.24783588556,4.27390705841983,128363.8511635000664728022574,1985.24783588556,128363.8511635000664728022574,0.012164952347975917,64.6588545989981,-72.97628855356714,7.971067936857724,16954403.78542386145496,19219217.972006551365,16954403.78542386145496,10550,25542,0.05178818795736009,0.048264735935887516,0.03796995726951106
2019-05-02,1614335577,759,49339592,65006.0500658762,1083268968.287620138364432688,32547858484.7286,0.000309606021533442,0.01977916179313062796776537544,0.00024638,0.015739971265594871512,4.74471228,303.115654479726959850672,271232154.039405,2158.83487116827,4.64701924335363,137917.0340098740812717417971,2158.83487116827,137917.0340098740812717417971,0.011845615879064597,63.8849389787924,-74.32676041290541,-8.626547504688919,16956562.62029502972196,19219673.365301169896,16956562.62029502972196,15325,39211,0.051784633151696374,0.03879258071634549,0.03803175878036724
